,id,name,neighbourhood,suburb,state,postcode,latf,longf,tunnel,latL,longL,type,latM,longM,oneway,bridge,total_street_distance,nodes_number,number_of_segments,segment_distance,segment_nodes_number,places_cluster_number,places_cluster_lat,places_cluster_long,incidents_cluster_number,incidenst_cluster_latup,incidents_cluster_longup,icndienst_cluster_latdown,incidnets_cluster_longdown
38,172993808,محور 26 يوليو,Block 1,1st District,Giza Governorate,12563,30.046364500000003,31.051821899999997,no,30.0491067,31.056936800000003,trunk,30.0474571,31.0537489,yes,yes,579.3319761866044,5,1,579.3319761866044,5,13,30.046059794736838,31.050356642105264,5,30.072512082191786,31.071139368493146,30.00251208219178,31.001139368493146
39,384116351,محور 26 يوليو الجانبى,NoData,1st District,Giza Governorate,12563,29.9780348,30.9562141,no,29.970524100000002,30.9624609,tertiary,29.975534999999997,30.9581175,yes,no,1767.6743782850726,37,2,976.1521037435077,21,56,29.9741618,30.95051086666667,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
40,680915920,26th of July Axis,NoData,1st District,Giza Governorate,12563,29.9617959,30.9686457,no,29.955838500000002,30.9598039,tertiary,29.958875199999998,30.9641506,yes,no,2667.1156939900216,39,3,944.8443380135653,14,11,29.960845925,30.96342406875,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
41,680915920,26th of July Axis,NoData,1st District,Giza Governorate,12563,29.9505794,30.952469399999995,no,29.9455032,30.9488338,tertiary,29.948164799999997,30.9504108,yes,no,2667.1156939900216,39,3,769.3541348173825,10,46,29.948955142105266,30.94280275263158,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
42,538574671,المحور المركزي,NoData,1st District,Giza Governorate,12563,29.9763858,30.944192600000004,no,29.9715776,30.936768800000003,secondary,29.975206800000002,30.942180699999998,yes,no,3235.9861732277564,78,4,999.1049014047708,21,56,29.9741618,30.95051086666667,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
43,538574671,المحور المركزي,NoData,1st District,Giza Governorate,12563,29.966152899999997,30.930006199999998,no,29.9641568,30.9270897,secondary,29.9653782,30.9291159,yes,no,3235.9861732277564,78,4,381.4112856934267,13,39,29.968890307142853,30.925479942857145,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
44,305793259,محور 26 يوليو الجانبى,NoData,1st District,Giza Governorate,12563,30.039207399999995,31.0383179,no,30.033230300000003,31.0288048,secondary,30.036619899999998,31.034023699999995,yes,no,7326.041819446471,72,9,711.8455577759092,6,25,30.03217624615385,31.02781466923077,5,30.072512082191786,31.071139368493146,30.00251208219178,31.001139368493146
45,305793259,محور 26 يوليو الجانبى,NoData,1st District,Giza Governorate,12563,30.0300701,31.0239995,no,30.0271615,31.0194995,secondary,30.028188899999996,31.0211358,yes,no,7326.041819446471,72,9,899.7319054710555,6,25,30.03217624615385,31.02781466923077,5,30.072512082191786,31.071139368493146,30.00251208219178,31.001139368493146
46,305793259,محور 26 يوليو الجانبى,NoData,1st District,Giza Governorate,12563,30.021461499999997,31.010819,no,30.0156016,31.0018505,secondary,30.0198495,31.008375899999997,yes,no,7326.041819446471,72,9,985.9134607514372,9,47,30.020362753846154,31.00811661538461,5,30.072512082191786,31.071139368493146,30.00251208219178,31.001139368493146
47,305793259,محور 26 يوليو الجانبى,NoData,1st District,Giza Governorate,12563,30.010595199999997,30.9941909,no,30.009057399999996,30.989015600000002,secondary,30.008915899999998,30.9908805,yes,no,7326.041819446471,72,9,975.5098921815223,14,15,30.007984285,30.989788315,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
48,75609336,NoData,NoData,6th of October,Giza Governorate,-1,29.9650869,31.034831800000003,no,29.964586600000004,31.034527399999998,tertiary,29.9648415,31.034838,yes,no,71.6268312580018,11,1,71.6268312580018,11,10,29.96212932,31.03320874,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
49,697804585,Temperary_name,Block 5,6th of October,Giza Governorate,2500,29.9105169,30.9288338,no,29.9099988,30.929222499999998,trunk_link,29.9099988,30.929222499999998,no,no,68.72063590662482,2,1,68.72063590662482,2,33,29.919633899999997,30.936635535294123,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
50,642043251,Temperary_name,NoData,6th of October,Giza Governorate,31,29.971400399999997,31.0085108,no,29.971103000000003,31.0099531,primary_link,29.9713441,31.0090084,yes,no,143.3487279058174,6,1,143.3487279058174,6,23,29.97058913333333,31.01156521666667,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
51,642043254,Temperary_name,NoData,6th of October,Giza Governorate,31,29.970548200000003,31.012184100000002,no,29.9722969,31.013087199999998,primary_link,29.9706939,31.0125123,yes,yes,223.14565769832762,9,1,223.14565769832762,9,23,29.97058913333333,31.01156521666667,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
